Timestamp,لدي مشكلة في عضلة القلب، و الطييب سيقوم بشرح المشكلة لي، لذلك افضل ان  :,أنهيت مسابقة أو اختبار و أود الحصول على ملاحظات عن طريق..,عندما أتعلم ، أفضل أن :,عندما أريد أن أتعلم لعبة جديدة أو لعبة ورق، فإنني..,عندما ارغب في ايجاد الطريق إلى متجر أوصى به أحد الأصدقاء ، فإنني,"يحتوي موقع الويب على مقطع فيديو يوضح كيفية عمل رسم بياني أو مخطط خاص. هناك شخص يتحدث ، وبعض القوائم والكلمات تصف ما يجب فعله وبعض الرسوم البيانية. سوف أتعلم أكثر من: 
",أريد أن أتعلم القيام بشيء جديد باستخدام جهاز الكمبيوتر ، أود أن :,تريد توفير المال و لديك عدة خيارات، لذلك ..,عند اختيارك لمهنتك أو مجال دراستك، فالامور التي تفضلها هي ...,أرغب بشراء او استئجار منزل أو شقة ، قبل زيارته أود ان ...,أفضل مدرس هو الذي يستخدم:,أريد أن أتعلم كيفية التقاط صور أفضل، أود:,عندما أتعلم من الإنترنت، أحب:,أريد أن أتعرف على مشروع جديد ، أود أن أسأل عن :,"
تريد معرفة المزيد عن الجولة التي ستقوم بها. لذلك تود :",أريد تجميع طاولة خشبية ، سوف أتعلم كيفية القيام بذلك بشكل أفضل من : 
10/16/2020 22:19:44,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,أستخدم الأمثلة و التطبيقات,أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,أكتب اتجاهات الشارع التي يجب ان أتذكرها,رؤية المخططات,اتحدث مع شخص يعرف البرنامج,أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة,تطبيق معرفتي في مواقف حقيقة,المناقشة مع المالك,سؤال و جواي ، حديث ، مناقشة جماعية,طرح الأسئلة و التحدث عن الكاميرا و مميزاتها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف,تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,التعليمات المكتوبة التي تأتي مع قطع الطاولة
10/16/2020 22:21:11,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,أستخدم الأمثلة و التطبيقات,أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها,أسال احدهم ليخبرني عن الاتجاهات,الاستماع,أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ,أناقش كل الأمثلة باستخدام معلوماتي المالية,تطبيق معرفتي في مواقف حقيقة,أرى مخطط يوضح الغرف و خريطة للمنطقة,العروض التوضيحية أو الجلسات العملية,طرح الأسئلة و التحدث عن الكاميرا و مميزاتها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,أمثلة ليتم استخدام المشروع بنجاح,تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,نصيحة شخص فعل ذلك من قبل
10/16/2020 22:25:14,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,أستخدم الأمثلة و التطبيقات,أقرأ الإرشادات,أستخدم الخريطة,رؤية المخططات,أقرأ التعليمات المكتوبة التي تأتي مع البرنامج,أتحدث مع الخبراء حول الخيارات,العمل مع التصاميم أو الخرائط أو الرسوم البيانية,أرى مخطط يوضح الغرف و خريطة للمنطقة,سؤال و جواي ، حديث ، مناقشة جماعية,استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,"التصميم و الميزات البصرية, مشاهدة مقاطع فيديو حول كيفية صنع الأشياء",مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف,"تستخدم الخريطة وأرى أين توجد الأماكن, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة","مخططات توضح كل مرحلة من مراحل التجميع, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/16/2020 22:26:33,يشرح لي سبب المشكلة بنفسه,باستخدام الرسوم البيانية التي تبين ما حققته,أستخدم الأمثلة و التطبيقات,أقرأ الإرشادات,أكتب اتجاهات الشارع التي يجب ان أتذكرها,رؤية المخططات,أقرأ التعليمات المكتوبة التي تأتي مع البرنامج,أناقش كل الأمثلة باستخدام معلوماتي المالية,العمل مع التصاميم أو الخرائط أو الرسوم البيانية,أرى مخطط يوضح الغرف و خريطة للمنطقة,سؤال و جواي ، حديث ، مناقشة جماعية,استخدام التعليمات المكتوبة حول ما يجب القيام به,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,أمثلة ليتم استخدام المشروع بنجاح,تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,نصيحة شخص فعل ذلك من قبل
10/16/2020 22:33:38,يشرح لي سبب المشكلة بنفسه,باستخدام الرسوم البيانية التي تبين ما حققته,"أستخدم الأمثلة و التطبيقات, أحب التحدث عن الأشياء","أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة","أسال احدهم ليخبرني عن الاتجاهات, أكتب اتجاهات الشارع التي يجب ان أتذكرها","مشاهدة الإجراءات, رؤية المخططات","أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج","أناقش كل الأمثلة باستخدام معلوماتي المالية, أتحدث مع الخبراء حول الخيارات","العمل مع التصاميم أو الخرائط أو الرسوم البيانية, التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة","مشاهده فيديو للمتلكات, المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة","العروض التوضيحية أو الجلسات العملية, مخططات ، خرائط ، رسوم بيانية",استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,"التصميم و الميزات البصرية, مشاهدة مقاطع فيديو حول كيفية صنع الأشياء","أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف",تستخدم الخريطة وأرى أين توجد الأماكن,مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/16/2020 22:35:22,يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة,استخدام أمثلة نن اعمال قمت بها سابقا,أستخدم الأمثلة و التطبيقات,أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها,أسال احدهم ليخبرني عن الاتجاهات,مشاهدة الإجراءات,أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ,أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة,تطبيق معرفتي في مواقف حقيقة,مشاهده فيديو للمتلكات,العروض التوضيحية أو الجلسات العملية,استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,أمثلة ليتم استخدام المشروع بنجاح,أقرأ عن الجولة في خط سير الرحلة,مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/16/2020 22:36:05,يشرح لي اةمشكلة عن طريق رسم بياني,مناقشة الافكار مع شخص ما,أقرأ الكتب و المقالات,أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها,أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,الاستماع,اتحدث مع شخص يعرف البرنامج,أناقش كل الأمثلة باستخدام معلوماتي المالية,تطبيق معرفتي في مواقف حقيقة,المناقشة مع المالك,مخططات ، خرائط ، رسوم بيانية,استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,التصميم و الميزات البصرية,تقرير يصف السمات الرئيسية للمشروع,إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة,التعليمات المكتوبة التي تأتي مع قطع الطاولة
10/16/2020 22:40:58,يشرح لي سبب المشكلة بنفسه,باستخدام الرسوم البيانية التي تبين ما حققته,أستخدم الأمثلة و التطبيقات,أقرأ الإرشادات,أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,مشاهدة الإجراءات,اتحدث مع شخص يعرف البرنامج,أناقش كل الأمثلة باستخدام معلوماتي المالية,التواصل مع الآخرين و مناقشتهم,المناقشة مع المالك,العروض التوضيحية أو الجلسات العملية,طرح الأسئلة و التحدث عن الكاميرا و مميزاتها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,فرصة لمناقشة الموضوع,تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,مخططات توضح كل مرحلة من مراحل التجميع
10/16/2020 22:43:37,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,أقرأ الكتب و المقالات,أقرأ الإرشادات,أستخدم الخريطة,مشاهدة الإجراءات,أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ,أتحدث مع الخبراء حول الخيارات,العمل مع التصاميم أو الخرائط أو الرسوم البيانية,أرى مخطط يوضح الغرف و خريطة للمنطقة,العروض التوضيحية أو الجلسات العملية,طرح الأسئلة و التحدث عن الكاميرا و مميزاتها,الاستماع إلى القنوات الصوتية حيث يمكنني الاستماع إلى البودكاست أو المقابلات,مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف,تستخدم الخريطة وأرى أين توجد الأماكن,مخططات توضح كل مرحلة من مراحل التجميع
10/16/2020 22:44:03,يشرح لي اةمشكلة عن طريق رسم بياني,باستخدام الرسوم البيانية التي تبين ما حققته,ابحث عن الانماط,أستخدم الرسوم البيانية التي تشرح المراحل و الحركات و الاستراتيجيات المختلفة في اللعبة,أستخدم الخريطة,رؤية المخططات,اتبع الرسوم البيانية,أناقش كل الأمثلة باستخدام معلوماتي المالية,العمل مع التصاميم أو الخرائط أو الرسوم البيانية,أرى مخطط يوضح الغرف و خريطة للمنطقة,العروض التوضيحية أو الجلسات العملية,استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف,تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,مخططات توضح كل مرحلة من مراحل التجميع
10/16/2020 22:44:09,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,أستخدم الأمثلة و التطبيقات,"أقرأ الإرشادات, أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة",أستخدم الخريطة,مشاهدة الإجراءات,"أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج","أتحدث مع الخبراء حول الخيارات, أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة",تطبيق معرفتي في مواقف حقيقة,"مشاهده فيديو للمتلكات, أرى مخطط يوضح الغرف و خريطة للمنطقة","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية",استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,"مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف","تستخدم الخريطة وأرى أين توجد الأماكن, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/16/2020 22:44:52,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,أستخدم الأمثلة و التطبيقات,أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,مشاهدة الإجراءات,اتحدث مع شخص يعرف البرنامج,أناقش كل الأمثلة باستخدام معلوماتي المالية,تطبيق معرفتي في مواقف حقيقة,مشاهده فيديو للمتلكات,"العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية, مخططات ، خرائط ، رسوم بيانية",استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,"أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف",إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة,التعليمات المكتوبة التي تأتي مع قطع الطاولة
10/16/2020 22:45:10,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,أقرأ الكتب و المقالات,أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,أستخدم الخريطة,مشاهدة الإجراءات,أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ,أناقش كل الأمثلة باستخدام معلوماتي المالية,تطبيق معرفتي في مواقف حقيقة,أرى مخطط يوضح الغرف و خريطة للمنطقة,سؤال و جواي ، حديث ، مناقشة جماعية,استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,أمثلة ليتم استخدام المشروع بنجاح,تستخدم الخريطة وأرى أين توجد الأماكن,مخططات توضح كل مرحلة من مراحل التجميع
10/16/2020 22:46:55,يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة,مناقشة الافكار مع شخص ما,أستخدم الأمثلة و التطبيقات,"أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة",أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,"مشاهدة الإجراءات, رؤية المخططات",أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ,أناقش كل الأمثلة باستخدام معلوماتي المالية,العمل مع التصاميم أو الخرائط أو الرسوم البيانية,"مشاهده فيديو للمتلكات, المناقشة مع المالك","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية",استخدام الرسوم البيانية التي توضح الكاميرا و ما يقوم به كل جزء,"التصميم و الميزات البصرية, مشاهدة مقاطع فيديو حول كيفية صنع الأشياء",فرصة لمناقشة الموضوع,تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,نصيحة شخص فعل ذلك من قبل
10/16/2020 22:47:55,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,"أستخدم الأمثلة و التطبيقات, ابحث عن الانماط","أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة",أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,"الاستماع, مشاهدة الإجراءات","أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج","أناقش كل الأمثلة باستخدام معلوماتي المالية, أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة","التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة",أرى مخطط يوضح الغرف و خريطة للمنطقة,"العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية",استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,أمثلة ليتم استخدام المشروع بنجاح,تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,مخططات توضح كل مرحلة من مراحل التجميع
10/16/2020 22:48:34,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,"أقرأ الكتب و المقالات, ابحث عن الانماط",أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,"الاستماع, مشاهدة الإجراءات",اتحدث مع شخص يعرف البرنامج,"أناقش كل الأمثلة باستخدام معلوماتي المالية, أتحدث مع الخبراء حول الخيارات",تطبيق معرفتي في مواقف حقيقة,أرى مخطط يوضح الغرف و خريطة للمنطقة,"العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية, نشرات أو كتب أو قراءات, مخططات ، خرائط ، رسوم بيانية","طرح الأسئلة و التحدث عن الكاميرا و مميزاتها, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, الاستماع إلى القنوات الصوتية حيث يمكنني الاستماع إلى البودكاست أو المقابلات, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","فرصة لمناقشة الموضوع, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف, تقرير يصف السمات الرئيسية للمشروع","تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, تستخدم الخريطة وأرى أين توجد الأماكن","مخططات توضح كل مرحلة من مراحل التجميع, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/16/2020 22:49:50,"يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يقترح لي مقالا لأقرأه، يساعدني في فهم سبب المشكلة, يشرح لي سبب المشكلة بنفسه",مناقشة الافكار مع شخص ما,"أستخدم الأمثلة و التطبيقات, أقرأ الكتب و المقالات","أقرأ الإرشادات, أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها",أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه,"الاستماع, مشاهدة الإجراءات","أقرأ التعليمات المكتوبة التي تأتي مع البرنامج, اتحدث مع شخص يعرف البرنامج","أتحدث مع الخبراء حول الخيارات, أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة","العمل مع التصاميم أو الخرائط أو الرسوم البيانية, تطبيق معرفتي في مواقف حقيقة","المناقشة مع المالك, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية, مخططات ، خرائط ، رسوم بيانية","استخدام الرسوم البيانية التي توضح الكاميرا و ما يقوم به كل جزء, استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها","مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, الاستماع إلى القنوات الصوتية حيث يمكنني الاستماع إلى البودكاست أو المقابلات, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف, تقرير يصف السمات الرئيسية للمشروع","تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة, أقرأ عن الجولة في خط سير الرحلة","نصيحة شخص فعل ذلك من قبل, مخططات توضح كل مرحلة من مراحل التجميع, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/16/2020 22:51:38,يشرح لي سبب المشكلة بنفسه,استخدام وثف مكتوب عن نتائجي,"أستخدم الأمثلة و التطبيقات, أقرأ الكتب و المقالات",أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,أسال احدهم ليخبرني عن الاتجاهات,مشاهدة الإجراءات,اتحدث مع شخص يعرف البرنامج,أناقش كل الأمثلة باستخدام معلوماتي المالية,التواصل مع الآخرين و مناقشتهم,أرى مخطط يوضح الغرف و خريطة للمنطقة,سؤال و جواي ، حديث ، مناقشة جماعية,استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,"فرصة لمناقشة الموضوع, أمثلة ليتم استخدام المشروع بنجاح",تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة,مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/16/2020 22:51:46,يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة,باستخدام الرسوم البيانية التي تبين ما حققته,ابحث عن الانماط,أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,أسال احدهم ليخبرني عن الاتجاهات,الاستماع,اتحدث مع شخص يعرف البرنامج,أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة,العمل مع التصاميم أو الخرائط أو الرسوم البيانية,أرى مخطط يوضح الغرف و خريطة للمنطقة,سؤال و جواي ، حديث ، مناقشة جماعية,طرح الأسئلة و التحدث عن الكاميرا و مميزاتها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,تقرير يصف السمات الرئيسية للمشروع,إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة,مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/16/2020 22:52:21,يشرح لي سبب المشكلة بنفسه,"مناقشة الافكار مع شخص ما, استخدام وثف مكتوب عن نتائجي","أستخدم الأمثلة و التطبيقات, أقرأ الكتب و المقالات","أقرأ الإرشادات, أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة","أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه, أستخدم الخريطة","الاستماع, مشاهدة الإجراءات, رؤية المخططات, قراءة الكلمات","أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ, اتحدث مع شخص يعرف البرنامج",أقرأ كتيب يصف الخيارات بالتفصيل,"حسن استخدام الكلمات في المراسلات( الاتصالات الكتابية), تطبيق معرفتي في مواقف حقيقة","مشاهده فيديو للمتلكات, المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية, مخططات ، خرائط ، رسوم بيانية",استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,"فرصة لمناقشة الموضوع, تقرير يصف السمات الرئيسية للمشروع","تستخدم الخريطة وأرى أين توجد الأماكن, أقرأ عن الجولة في خط سير الرحلة","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع"
10/16/2020 22:53:40,"يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة, يشرح لي سبب المشكلة بنفسه","استخدام أمثلة نن اعمال قمت بها سابقا, مناقشة الافكار مع شخص ما","أستخدم الأمثلة و التطبيقات, ابحث عن الانماط","أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها, أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة",أسال احدهم ليخبرني عن الاتجاهات,"الاستماع, مشاهدة الإجراءات",اتحدث مع شخص يعرف البرنامج,أناقش كل الأمثلة باستخدام معلوماتي المالية,"التواصل مع الآخرين و مناقشتهم, تطبيق معرفتي في مواقف حقيقة","مشاهده فيديو للمتلكات, وصف مطبوع للغرف و الميزات","العروض التوضيحية أو الجلسات العملية, سؤال و جواي ، حديث ، مناقشة جماعية, مخططات ، خرائط ، رسوم بيانية",استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,"أمثلة ليتم استخدام المشروع بنجاح, مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف, تقرير يصف السمات الرئيسية للمشروع","تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
10/16/2020 22:58:32,يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة,استخدام أمثلة نن اعمال قمت بها سابقا,أستخدم الأمثلة و التطبيقات,أستخدم الرسوم البيانية التي تشرح المراحل و الحركات و الاستراتيجيات المختلفة في اللعبة,أسال احدهم ليخبرني عن الاتجاهات,رؤية المخططات,أقرأ التعليمات المكتوبة التي تأتي مع البرنامج,أناقش كل الأمثلة باستخدام معلوماتي المالية,تطبيق معرفتي في مواقف حقيقة,المناقشة مع المالك,سؤال و جواي ، حديث ، مناقشة جماعية,استخدام التعليمات المكتوبة حول ما يجب القيام به,مشاهدة أوصاف و تفسيرات مثيرة للاهتمام,أمثلة ليتم استخدام المشروع بنجاح,أقرأ عن الجولة في خط سير الرحلة,التعليمات المكتوبة التي تأتي مع قطع الطاولة
10/16/2020 22:59:03,يشرح لي سبب المشكلة بنفسه,مناقشة الافكار مع شخص ما,أقرأ الكتب و المقالات,"أقرأ الإرشادات, أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها",أسال احدهم ليخبرني عن الاتجاهات,"مشاهدة الإجراءات, رؤية المخططات","أقرأ التعليمات المكتوبة التي تأتي مع البرنامج, أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ",أستخدم رسوم بيانية التي تعرض خيارات مختلفة لفترات زمنية مختلفة,العمل مع التصاميم أو الخرائط أو الرسوم البيانية,"المناقشة مع المالك, أرى مخطط يوضح الغرف و خريطة للمنطقة, وصف مطبوع للغرف و الميزات",سؤال و جواي ، حديث ، مناقشة جماعية,استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,"مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام","مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف, تقرير يصف السمات الرئيسية للمشروع","تتحدث مع الشخص المخطط للجولة أو مع الأشخاص الذين يقومون بالجولة, إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة","مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, مخططات توضح كل مرحلة من مراحل التجميع"
10/16/2020 22:59:05,يستخدم نموذجا بلاستيكيا ليشرح لي سبب المشكلة,استخدام وثف مكتوب عن نتائجي,أستخدم الأمثلة و التطبيقات,أستمع إلى شحض يشرح اللعبة و أطرح عليه الأسئلة,أستخدم الخريطة,رؤية المخططات,اتحدث مع شخص يعرف البرنامج,أقرأ كتيب يصف الخيارات بالتفصيل,التواصل مع الآخرين و مناقشتهم,مشاهده فيديو للمتلكات,العروض التوضيحية أو الجلسات العملية,استخدام أمثلة للصور الجيدة و الضعيفة التي تزضح كيفية تحسينها,مشاهدة مقاطع فيديو حول كيفية صنع الأشياء,مخططات لإظهار مراحل المشروع مع رسوم بيانية للفوائد و التكاليف,إلقاء نظرة على تفاصيل حول الأجذاث البارزة و الأنشطة في الجولة,مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة
10/16/2020 23:00:48,يشرح لي سبب المشكلة بنفسه,استخدام أمثلة نن اعمال قمت بها سابقا,أقرأ الكتب و المقالات,أشاهد الآخرين يلعبون اللعبة قبل أن أنضم اليها,"أكتشف مكان المتجر بالنسبة إلى مكان آخر أعرفه, أستخدم الخريطة","الاستماع, رؤية المخططات",أبدأ في استخدامه و أتعلم عن طريق التجربة و الخطأ,أناقش كل الأمثلة باستخدام معلوماتي المالية,التواصل مع الآخرين و مناقشتهم,مشاهده فيديو للمتلكات,سؤال و جواي ، حديث ، مناقشة جماعية,طرح الأسئلة و التحدث عن الكاميرا و مميزاتها,"مشاهدة مقاطع فيديو حول كيفية صنع الأشياء, مشاهدة أوصاف و تفسيرات مثيرة للاهتمام",أمثلة ليتم استخدام المشروع بنجاح,تستخدم الخريطة وأرى أين توجد الأماكن,"مشاهدة فيديو لشخص يقوم بتجميع طاولة مماثلة, التعليمات المكتوبة التي تأتي مع قطع الطاولة"
